EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3,Course4,Course5
0,0,66.73,1,2,78.73,0,0,0,74.23,0
1,37.92,69.92,2,2,74.14,0,0,0,63.82,50.57
1,84.72,64.77,1,4,54.2,0,0,81.68,74.92,0
0,0,80.43,2,2,83.67,0,0,0,89.7,0
1,68.51,74.14,1,4,59.06,0,0,74.62,65.46,0
1,56.66,64.93,1,3,74.18,0,0,0,67.67,50.83
1,54.7,71.55,1,1,73.82,68.83,0,0,0,0
1,35.75,80.42,2,2,86.18,0,62.88,62.29,0,0
1,55.62,69.61,1,3,70.41,0,0,0,67.4,69.31
1,48.58,60.51,1,4,90.35,0,0,58.66,0,59.09
1,72.87,71.32,3,2,56.37,64.08,0,80.2,0,0
0,0,50.19,3,4,71.41,0,0,62.57,0,0
0,0,77.69,1,1,71.35,0,0,0,0,87.79
1,72.79,65.79,2,4,54.09,0,0,63.69,70.64,0
0,0,65.31,3,1,61.14,0,0,0,77.57,0
0,0,78.76,2,1,53.62,0,0,86.29,0,0
0,0,56.35,1,1,65.51,0,0,0,0,62.77
0,0,89.47,3,3,65.08,0,0,0,99.79,0
0,0,65.2,2,1,41.68,0,0,0,73,0
1,65.33,64.77,2,2,70.22,0,0,0,63.99,64.83
0,0,80.21,3,4,62.38,0,0,91.96,0,0
1,60.88,77.09,1,1,66.02,0,60.43,0,0,0
1,57.22,94.51,1,3,71.71,0,0,65.92,67.98,0
0,0,67.89,3,1,68.53,0,0,0,0,75.29
0,0,68.8,2,2,65.7,0,0,79.52,0,0
1,72,55.21,3,3,67.92,72.46,0,0,65.67,0
1,55.36,66.68,3,4,60.76,0,0,0,67.39,70.52
1,56.5,62.79,3,3,78.09,62.9,0,0,67.92,0
1,85.99,65.51,1,2,70.55,0,0,72.4,78.11,0
0,0,52.56,1,1,78.18,0,0,0,63.28,0
1,65.56,86.61,2,1,64.64,69.4,0,0,0,0
0,0,55.83,3,1,73.39,0,0,68.26,0,0
1,82.8,41.98,3,1,56.08,0,58.7,0,0,0
0,0,58.12,3,4,70.38,0,0,67.38,0,0
1,73.94,63.96,3,1,79,67.25,0,0,0,0
1,68.73,58.5,1,1,67.99,72.8,0,0,0,0
0,0,80.98,1,4,87.15,0,0,90.5,0,0
1,61.86,68.62,2,1,62.32,65.03,0,0,0,0
1,58.05,70.25,2,3,51.43,0,72.52,0,0,69.9
0,0,76.1,3,1,75.48,0,0,84.73,0,0
0,0,72.86,2,1,61.78,0,0,0,81.47,0
1,18.9,79.79,3,1,89.37,42.6,0,0,0,0
0,0,58.91,1,2,60.62,0,0,0,0,70.59
