EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3,Course4,Course5,Course6,Course7
0,0,66.73,1,2,78.73,0,0,0,0,0,74.81,0
1,37.92,69.92,2,2,74.14,0,0,0,0,0,60.86,54.1
1,84.72,64.77,1,4,54.2,0,0,0,0,68.89,67.82,0
0,0,80.43,2,2,83.67,0,0,0,0,0,88.38,0
1,68.51,74.14,1,4,59.06,0,0,76.12,0,0,0,67.57
1,56.66,64.93,1,3,74.18,0,0,0,0,55.77,61.08,0
1,54.7,71.55,1,1,73.82,69.62,0,0,0,0,0,0
1,35.75,80.42,2,2,86.18,0,61.96,0,0,57.46,0,0
1,55.62,69.61,1,3,70.41,0,0,0,0,0,69.13,61.29
1,48.58,60.51,1,4,90.35,0,0,0,0,0,55.9,62.2
1,72.87,71.32,3,2,56.37,0,0,0,0,76.97,65.94,0
0,0,50.19,3,4,71.41,0,0,0,0,59.33,0,0
0,0,77.69,1,1,71.35,0,0,0,0,0,0,89.31
1,72.79,65.79,2,4,54.09,0,0,0,0,0,64.73,73.12
0,0,65.31,3,1,61.14,0,0,0,0,74.82,0,0
0,0,78.76,2,1,53.62,0,0,0,0,0,0,91.03
0,0,56.35,1,1,65.51,0,0,0,0,63.83,0,0
0,0,89.47,3,3,65.08,0,0,0,0,0,96.47,0
0,0,65.2,2,1,41.68,0,0,0,0,0,74.22,0
1,65.33,64.77,2,2,70.22,0,0,0,0,67.53,0,72.53
0,0,80.21,3,4,62.38,0,0,0,0,0,92.67,0
1,60.88,77.09,1,1,66.02,0,69.39,0,0,0,0,0
1,57.22,94.51,1,3,71.71,0,0,75.97,0,85.49,0,0
0,0,67.89,3,1,68.53,0,0,0,0,75.61,0,0
0,0,68.8,2,2,65.7,0,0,0,0,0,0,78.32
1,72,55.21,3,3,67.92,0,0,0,0,0,61.42,55.62
1,55.36,66.68,3,4,60.76,0,0,0,0,0,66.76,70.33
1,56.5,62.79,3,3,78.09,69.6,0,0,0,0,56.96,0
1,85.99,65.51,1,2,70.55,0,0,0,0,0,70.15,70.33
0,0,52.56,1,1,78.18,0,0,0,0,61.76,0,0
1,65.56,86.61,2,1,64.64,77.42,0,0,0,0,0,0
0,0,55.83,3,1,73.39,0,0,0,0,68.38,0,0
1,82.8,41.98,3,1,56.08,0,68.59,0,0,0,0,0
0,0,58.12,3,4,70.38,0,0,0,0,0,70.53,0
1,73.94,63.96,3,1,79,70.19,0,0,0,0,0,0
1,68.73,58.5,1,1,67.99,0,60.29,0,0,0,0,0
0,0,80.98,1,4,87.15,0,0,0,0,93.63,0,0
1,61.86,68.62,2,1,62.32,71.42,0,0,0,0,0,0
1,58.05,70.25,2,3,51.43,0,58.57,0,0,68.9,0,0
0,0,76.1,3,1,75.48,0,0,0,0,0,0,83
0,0,72.86,2,1,61.78,0,0,0,0,0,0,84.13
1,18.9,79.79,3,1,89.37,48.91,0,0,0,0,0,0
0,0,58.91,1,2,60.62,0,0,0,0,66.89,0,0
1,64.05,64.52,1,4,67,0,0,0,0,0,56.44,71.37
1,53,76.66,1,4,60.55,65.47,0,71.41,0,0,0,0
1,38.75,44.65,2,1,56.35,0,41.63,0,0,0,0,0
1,73.03,56.25,3,3,60.42,69.8,0,0,0,0,0,56.52
1,64.15,75.01,2,4,73.71,0,0,69.85,0,77.58,0,0
0,0,65.2,3,4,89.89,0,0,0,0,76.61,0,0
1,64.72,79.36,2,1,67.18,64.49,0,0,0,0,0,0
0,0,78.09,1,3,75.67,0,0,0,0,89.68,0,0
1,60.08,58.02,2,2,80.01,0,0,0,0,0,50.54,64.81
1,72.01,74.07,1,2,69.4,0,0,0,0,78.07,0,71.85
1,61.17,82.02,3,3,75,0,0,0,0,0,73.4,68.46
1,54.07,71.47,1,3,70.64,67.54,0,0,56.58,0,0,0
0,0,60.23,2,2,68.92,0,0,0,0,72.09,0,0
