EnrolledElectiveBefore,GradeAvgPrevElec,Grade,Major,Class,GradePerm,Course1,Course2,Course3
0,0,64.67,1,2,76.12,0,70.5,0
1,57.43,80.91,2,2,67.86,69.39,75.05,0
1,71.58,66.54,2,2,84.05,70.13,73.9,0
0,0,62.05,1,4,72.39,0,74.83,0
1,92.45,71.98,3,2,52.24,0,73.08,88.23
1,80.05,80.82,3,3,63.04,77.98,0,79.87
1,54.46,55.55,3,3,72.71,59.05,59.49,0
1,56.41,57.89,1,3,84.89,0,64.18,51.86
1,76.49,62.11,3,1,69.25,74.46,0,0
1,69.83,80.95,2,4,79.67,0,68.48,71.63
1,69.6,72.35,1,4,61.43,66.13,0,75.64
0,0,91.32,3,3,51.82,0,100,0
0,0,79.36,2,4,58.43,0,0,89.37
1,48.93,69.65,2,1,84.01,55.01,0,0
0,0,82.65,1,2,75.56,88.29,0,0
0,0,72.11,3,3,91.5,0,82.95,0
0,0,62.95,2,4,86.74,0,76.55,0
0,0,76.8,3,3,77.01,89.95,0,0
0,0,63.04,2,3,85.79,0,0,73.08
1,53,67.1,2,3,91.34,52.35,66.42,0
0,0,83.28,1,3,91.32,0,92.5,0
1,53.85,68.99,3,2,80.12,66.56,0,61.95
1,59.74,61.97,2,3,53.21,60.27,51.15,0
0,0,65.36,3,4,69.45,0,76.54,0
0,0,80.22,3,4,75.25,86.23,0,0
1,59.37,64.47,3,1,65.78,0,61.01,0
1,45.66,66.13,1,1,70.23,64.78,0,0
1,54.81,64.9,2,4,63.32,51.46,0,53.13
1,53.05,71.84,3,3,61.01,59.76,0,60.94
0,0,66.15,1,4,80.95,77.38,0,0
1,36.89,53.98,3,1,80.55,51.48,0,0
0,0,61.13,1,3,61.36,72.5,0,0
1,62.35,60.67,3,4,82.43,0,61.89,53.45
0,0,82.43,3,2,66.35,0,0,93.28
1,51.04,78.13,3,4,68.96,0,57.5,67.24
1,56.43,75.87,1,1,78.33,72,0,0
0,0,64.95,1,4,66.13,0,0,76.91
1,52.6,61.84,2,3,95.26,64.46,0,56.44
1,51.86,64.92,2,4,68.84,67.69,0,59.56
0,0,59.48,1,1,76.99,71.32,0,0
0,0,94.97,2,4,69.1,0,100,0
1,71.72,47.55,1,3,62.08,58.6,0,61.86
0,0,75.64,1,4,73.08,0,86.06,0
1,28.95,57.15,1,1,77.64,0,47.68,0
1,66.39,68.96,2,2,73.78,0,73.17,66.63
1,70.15,60.12,3,4,82.98,0,70.43,65.93
1,50.44,58.22,2,4,72.66,47.5,0,45.87
1,54.04,58.6,3,1,69.59,0,65.39,0
0,0,87.55,2,1,86.69,100,0,0
1,55.53,68.67,3,4,66.52,58.18,0,58.11
0,0,62.34,3,1,83.12,0,74.1,0
1,34.86,75.56,1,1,68.88,46.59,0,0
1,77.28,70.1,2,3,70.52,0,69.94,67.86
1,76.19,77.2,3,4,60.13,85.26,0,76.78
1,47.8,51.76,2,4,86.96,0,46.14,52.06
0,0,73.04,1,2,64.68,0,0,82.33
1,67.82,77.73,1,2,78.64,75.91,0,78.48
0,0,53.38,3,1,60.53,63.9,0,0
0,0,74.48,1,1,73.27,87.37,0,0
1,55.21,86.96,2,4,61.03,0,74.55,80.14
1,70.37,69.85,1,2,60.81,65.88,0,78.47
0,0,78.21,1,4,60.12,87.05,0,0
1,49.12,76.71,1,4,79.36,59.98,0,64.42
0,0,62.92,1,4,72.05,0,0,72.5
1,36.26,70.4,2,2,82.65,43.45,52.02,0
0,0,54.33,2,4,72.1,67.02,0,0
0,0,65.49,3,2,59.54,77.17,0,0
0,0,72.66,1,2,69.25,0,82.66,0
0,0,77.23,3,1,84.26,90.48,0,0
0,0,70.25,3,4,78.21,0,0,77.53
1,30.96,77.2,2,2,83.29,53.86,53.72,0
1,62.83,58.97,1,1,76.45,0,60.33,0
0,0,68.98,1,1,61.97,0,79.22,0
0,0,70.19,2,2,85.69,0,81.04,0
0,0,88.5,2,3,67.1,97.01,0,0
1,61.46,67.86,2,1,68.07,0,73.59,0
1,65.99,65.01,1,2,74.36,0,57.84,64.15
0,0,70.21,3,1,60.67,78.83,0,0
1,89.34,60.81,3,3,58.95,78,0,68.29
0,0,71.93,1,4,83.28,80.92,0,0
0,0,66.35,3,2,70.21,74.87,0,0
1,54.14,52.09,1,4,66.38,0,45.8,44.94
0,0,69.41,1,1,66.97,0,0,79.07
1,58.26,66.82,2,3,67.11,0,63.29,56.51
1,29.54,53.68,1,3,79.36,43.67,0,36.38
1,90.97,69.33,2,1,79.61,0,75.98,0
1,58.34,84.89,2,2,80.49,79.21,64.73,0
1,75.3,75.21,3,2,64.68,72.98,70.73,0
1,49.62,76.12,2,1,67,68.29,0,0
0,0,56.59,3,3,69.85,0,0,68.28
1,64.3,74.77,1,4,72.15,66.92,0,69.83
1,69.13,71.48,3,3,68.07,63.06,73.29,0
0,0,75.29,3,3,73.53,0,0,84.59
0,0,74.23,3,3,87.55,0,0,83.61
