data,fold,depth,min_samples_leaf,min_samples_split,num_rows,num_targets,prediction_method,prediction_method_leaf,evaluation_method,mse,nof_infeasibilities,training_duration
class,0,15,5,10,1000,3,sklearn,sklearn,sklearn,1545.46260954124,112,0.003496170043945
class,0,15,5,10,1000,3,optimal,medoid,mse,2268.8000165,0,483.536306858063
class,0,15,5,10,1000,3,optimal,optimal,mse,1978.48633421447,0,467.020219802857
class,0,15,5,10,1000,3,mean,medoid,mse,2230.29921816667,0,31.1240122318268
class,0,15,5,10,1000,3,mean,optimal,mse,2086.40298553128,0,31.3912606239319
class,0,15,5,10,1000,3,medoid,medoid,mse,1775.73719983333,0,164.081984043121
class,0,15,5,10,1000,3,medoid,optimal,mse,1942.09887880614,0,165.932769536972
class,1,15,5,10,1000,3,sklearn,sklearn,sklearn,1719.58486882178,104,0.002921104431152
class,1,15,5,10,1000,3,optimal,medoid,mse,2349.255363,0,455.15061044693
class,1,15,5,10,1000,3,optimal,optimal,mse,2137.71444243019,0,450.538127660751
class,1,15,5,10,1000,3,mean,medoid,mse,2178.69529816667,0,35.1533017158508
class,1,15,5,10,1000,3,mean,optimal,mse,2008.49143142179,0,35.133811712265
class,1,15,5,10,1000,3,medoid,medoid,mse,1968.03454533333,0,146.473473787308
class,1,15,5,10,1000,3,medoid,optimal,mse,1991.17709928407,0,152.56645822525
class,2,15,5,10,1000,3,sklearn,sklearn,sklearn,1863.52637817014,100,0.002872705459595
class,2,15,5,10,1000,3,optimal,medoid,mse,2361.29126566667,0,415.409726858139
class,2,15,5,10,1000,3,optimal,optimal,mse,2140.49525332254,0,414.952263116837
class,2,15,5,10,1000,3,mean,medoid,mse,2450.34157266667,0,31.0770351886749
class,2,15,5,10,1000,3,mean,optimal,mse,2166.08990482006,0,31.4019730091095
class,2,15,5,10,1000,3,medoid,medoid,mse,1901.2687835,0,161.393250465393
class,2,15,5,10,1000,3,medoid,optimal,mse,2032.21661555221,0,159.531167984009
class,3,15,5,10,1000,3,sklearn,sklearn,sklearn,1588.87767725414,128,0.00328516960144
class,3,15,5,10,1000,3,optimal,medoid,mse,2073.81126666667,0,390.797647953033
class,3,15,5,10,1000,3,optimal,optimal,mse,2170.174810855,0,401.965248823166
class,3,15,5,10,1000,3,mean,medoid,mse,2384.69146083333,0,31.2692804336548
class,3,15,5,10,1000,3,mean,optimal,mse,2116.79334858138,0,31.5804445743561
class,3,15,5,10,1000,3,medoid,medoid,mse,1886.68233066667,0,840.100480556488
class,3,15,5,10,1000,3,medoid,optimal,mse,2120.25932998391,0,868.522038698196
class,4,15,5,10,1000,3,sklearn,sklearn,sklearn,1584.26517063954,110,0.003411531448364
class,4,15,5,10,1000,3,optimal,medoid,mse,2121.5438855,0,453.499598503113
class,4,15,5,10,1000,3,optimal,optimal,mse,2070.77150304724,0,457.125125408173
class,4,15,5,10,1000,3,mean,medoid,mse,2531.05161683333,0,32.4855372905731
class,4,15,5,10,1000,3,mean,optimal,mse,2316.64804494658,0,32.4967861175537
class,4,15,5,10,1000,3,medoid,medoid,mse,2143.6486225,0,173.986062049866
class,4,15,5,10,1000,3,medoid,optimal,mse,2207.78464220878,0,173.817836523056
class,0,15,5,10,1000,5,sklearn,sklearn,sklearn,1163.19067747585,100,0.002965688705444
class,0,15,5,10,1000,5,optimal,medoid,mse,1600.5324365,0,609.602228164673
class,0,15,5,10,1000,5,optimal,optimal,mse,1310.0468843735,0,619.782026767731
class,0,15,5,10,1000,5,mean,medoid,mse,1569.3221273,0,41.2733688354492
class,0,15,5,10,1000,5,mean,optimal,mse,1301.75848004514,0,39.7825033664703
class,0,15,5,10,1000,5,medoid,medoid,mse,1359.0657906,0,185.714995384216
class,0,15,5,10,1000,5,medoid,optimal,mse,1278.66654634479,0,187.997001886368
class,1,15,5,10,1000,5,sklearn,sklearn,sklearn,1096.26121055957,115,0.003602266311646
class,1,15,5,10,1000,5,optimal,medoid,mse,1559.7991453,0,622.342152357101
class,1,15,5,10,1000,5,optimal,optimal,mse,1284.51668389136,0,626.7983314991
class,1,15,5,10,1000,5,mean,medoid,mse,1560.5598156,0,39.427360534668
class,1,15,5,10,1000,5,mean,optimal,mse,1367.45136600098,0,40.1584641933441
class,1,15,5,10,1000,5,medoid,medoid,mse,1238.6200669,0,390.141906499863
class,1,15,5,10,1000,5,medoid,optimal,mse,1183.09865567496,0,411.775652647019
class,2,15,5,10,1000,5,sklearn,sklearn,sklearn,1095.93131550982,110,0.003884792327881
class,2,15,5,10,1000,5,optimal,medoid,mse,1537.7505725,0,785.47749376297
class,2,15,5,10,1000,5,optimal,optimal,mse,1264.28157806539,0,793.14359998703
class,2,15,5,10,1000,5,mean,medoid,mse,1501.4565353,0,45.4436783790588
class,2,15,5,10,1000,5,mean,optimal,mse,1273.11157140562,0,46.4474401473999
class,2,15,5,10,1000,5,medoid,medoid,mse,1283.6813826,0,181.252239227295
class,2,15,5,10,1000,5,medoid,optimal,mse,1233.0094554187,0,181.49965763092
class,3,15,5,10,1000,5,sklearn,sklearn,sklearn,1107.09947772724,99,0.003366947174072
class,3,15,5,10,1000,5,optimal,medoid,mse,1690.169911,0,737.815785646439
class,3,15,5,10,1000,5,optimal,optimal,mse,1394.45842390526,0,762.784702301025
class,3,15,5,10,1000,5,mean,medoid,mse,1501.5490055,0,38.9389071464539
class,3,15,5,10,1000,5,mean,optimal,mse,1230.26613990288,0,38.7297210693359
class,3,15,5,10,1000,5,medoid,medoid,mse,1483.7280309,0,184.338146448135
class,3,15,5,10,1000,5,medoid,optimal,mse,1334.80549127974,0,187.940539360046
class,4,15,5,10,1000,5,sklearn,sklearn,sklearn,1177.5630828944,102,0.003603935241699
class,4,15,5,10,1000,5,optimal,medoid,mse,1601.7732947,0,901.346450328827
class,4,15,5,10,1000,5,optimal,optimal,mse,1388.49797710038,0,824.637668132782
class,4,15,5,10,1000,5,mean,medoid,mse,1597.7135619,0,41.5760400295258
class,4,15,5,10,1000,5,mean,optimal,mse,1394.45410952654,0,40.1440322399139
class,4,15,5,10,1000,5,medoid,medoid,mse,1333.1599469,0,263.044680833817
class,4,15,5,10,1000,5,medoid,optimal,mse,1252.23249304122,0,282.628128290176
class,0,15,5,10,1000,7,sklearn,sklearn,sklearn,843.687770951795,105,0.003752946853638
