data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,mse gap,nof_infeasibilities,training_duration,use_brute_force,use_hashmaps,use_initial_solution
hts_df_size_500_seed_0_v2,0,5,5,10,sklearn,sklearn,sklearn,4.986935496461874,0.0,100,0.004015207290649414,,,
hts_df_size_500_seed_0_v2,0,5,5,10,mean,optimal,mse,7.156923076923077,0.43513447928106613,0,1.2349696159362793,True,True,False
hts_df_size_500_seed_0_v2,0,5,5,10,optimal,optimal,mse,6.961538461538462,0.39595518459733975,0,107.86061716079712,True,True,False
hts_df_size_500_seed_0_v2,1,5,5,10,sklearn,sklearn,sklearn,5.175981591109892,0.0,100,0.0,,,
hts_df_size_500_seed_0_v2,1,5,5,10,mean,optimal,mse,7.20923076923077,0.39282388129299484,0,1.3148329257965088,True,True,False
hts_df_size_500_seed_0_v2,1,5,5,10,optimal,optimal,mse,7.764615384615386,0.500124227248345,0,105.24980354309082,True,True,False
hts_df_size_500_seed_0_v2,2,5,5,10,sklearn,sklearn,sklearn,5.0832417531126675,0.0,100,0.0,,,
hts_df_size_500_seed_0_v2,2,5,5,10,mean,optimal,mse,7.158461538461539,0.4082473126677742,0,1.3479104042053223,True,True,False
hts_df_size_500_seed_0_v2,2,5,5,10,optimal,optimal,mse,7.092307692307694,0.3952332068339651,0,114.12055778503418,True,True,False
hts_df_size_500_seed_0_v2,3,5,5,10,sklearn,sklearn,sklearn,4.85198343137238,0.0,100,0.004716157913208008,,,
hts_df_size_500_seed_0_v2,3,5,5,10,mean,optimal,mse,6.949230769230768,0.43224536264856595,0,1.4342296123504639,True,True,False
hts_df_size_500_seed_0_v2,3,5,5,10,optimal,optimal,mse,6.955384615384616,0.43351367822319414,0,118.84822297096252,True,True,False
hts_df_size_500_seed_0_v2,4,5,5,10,sklearn,sklearn,sklearn,4.9617452517617755,0.0,100,0.0,,,
hts_df_size_500_seed_0_v2,4,5,5,10,mean,optimal,mse,6.809230769230769,0.37234590325107964,0,1.6630401611328125,True,True,False
hts_df_size_500_seed_0_v2,4,5,5,10,optimal,optimal,mse,6.238461538461538,0.25731193802149277,0,118.48219418525696,True,True,False
hts_df_size_500_seed_1_v2,0,5,5,10,sklearn,sklearn,sklearn,4.549706030444917,0.0,100,0.0,,,
hts_df_size_500_seed_1_v2,0,5,5,10,mean,optimal,mse,6.549230769230769,0.4394843810579819,0,1.1389026641845703,True,True,False
hts_df_size_500_seed_1_v2,0,5,5,10,optimal,optimal,mse,7.08923076923077,0.5581733680796761,0,124.28713655471802,True,True,False
hts_df_size_500_seed_1_v2,1,5,5,10,sklearn,sklearn,sklearn,4.963333408765316,0.0,100,0.0,,,
