data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,nof_infeasibilities,training_duration
cars,0,3,5,10,lagrangian,lagrangian,mse,14270104.3153551,100,85.4209830760956
cars,0,3,5,10,lagrangian,medoid,mse,14852235.0616113,0,83.404848575592
cars,0,3,5,10,lagrangian,optimal,mse,14270104.5253551,0,86.3109421730042
cars,0,3,5,10,mean,medoid,mse,14852235.0616113,0,17.7242805957794
cars,0,3,5,10,mean,optimal,mse,14270104.5253551,0,18.6775386333466
cars,0,3,5,10,medoid,medoid,mse,15068600.9327541,0,30.4726107120514
cars,0,3,5,10,medoid,optimal,mse,13651200.3586433,0,31.3199396133423
cars,0,3,5,10,optimal,medoid,mse,14852235.0616113,0,88.1443362236023
cars,0,3,5,10,optimal,optimal,mse,14270104.5253551,0,108.38614487648
cars,0,3,5,10,sklearn,sklearn,sklearn,16934168.1990804,0,0.00560998916626
cars,0,6,5,10,lagrangian,lagrangian,mse,13876655.4702882,72,116.361312389374
cars,0,6,5,10,lagrangian,medoid,mse,14686443.6508973,0,116.536288499832
cars,0,6,5,10,lagrangian,optimal,mse,13876655.5702882,0,114.629757404327
cars,0,6,5,10,mean,medoid,mse,14686443.6508973,0,1.04892253875732
cars,0,6,5,10,mean,optimal,mse,13876655.5702882,0,1.13777637481689
cars,0,6,5,10,medoid,medoid,mse,15126875.9727541,0,13.6790924072266
cars,0,6,5,10,medoid,optimal,mse,14029913.2500234,0,13.7530252933502
cars,0,6,5,10,optimal,medoid,mse,14686443.6508973,0,92.0616366863251
cars,0,6,5,10,optimal,optimal,mse,13876655.5702882,0,93.642676115036
cars,0,6,5,10,sklearn,sklearn,sklearn,19025462.5592884,0,0.003048658370972
cars,0,9,5,10,lagrangian,lagrangian,mse,14044041.5142382,59,126.515028953552
cars,0,9,5,10,lagrangian,medoid,mse,14792370.5866113,0,124.113940954208
cars,0,9,5,10,lagrangian,optimal,mse,14044041.5592382,0,124.507073163986
cars,0,9,5,10,mean,medoid,mse,14792370.5866113,0,1.48093175888062
cars,0,9,5,10,mean,optimal,mse,14044041.5592382,0,1.55027627944946
cars,0,9,5,10,medoid,medoid,mse,15298523.7677541,0,17.7725558280945
cars,0,9,5,10,medoid,optimal,mse,14745341.2434533,0,16.5219442844391
cars,0,9,5,10,optimal,medoid,mse,14792370.5866113,0,110.60845375061
cars,0,9,5,10,optimal,optimal,mse,14044041.5592382,0,109.998215675354
cars,0,9,5,10,sklearn,sklearn,sklearn,19367659.0125524,0,0.00404953956604
cars,0,12,5,10,lagrangian,lagrangian,mse,14044041.5142382,59,129.85055398941
cars,0,12,5,10,lagrangian,medoid,mse,14792370.5866113,0,123.358019351959
cars,0,12,5,10,lagrangian,optimal,mse,14044041.5592382,0,123.617740392685
cars,0,12,5,10,mean,medoid,mse,14792370.5866113,0,1.30482292175293
cars,0,12,5,10,mean,optimal,mse,14044041.5592382,0,1.58558654785156
cars,0,12,5,10,medoid,medoid,mse,15417101.7827541,0,16.8275516033173
cars,0,12,5,10,medoid,optimal,mse,15988027.5687525,0,16.7066321372986
cars,0,12,5,10,optimal,medoid,mse,14792370.5866113,0,102.270937919617
cars,0,12,5,10,optimal,optimal,mse,14044041.5592382,0,103.404064893723
cars,0,12,5,10,sklearn,sklearn,sklearn,19367659.0125524,0,0.003131866455078
cars,0,15,5,10,lagrangian,lagrangian,mse,14044041.5142382,59,112.736462116241
cars,0,15,5,10,lagrangian,medoid,mse,14792370.5866113,0,109.208434581757
cars,0,15,5,10,lagrangian,optimal,mse,14044041.5592382,0,124.643204450607
cars,0,15,5,10,mean,medoid,mse,14792370.5866113,0,1.11798810958862
cars,0,15,5,10,mean,optimal,mse,14044041.5592382,0,1.31177544593811
cars,0,15,5,10,medoid,medoid,mse,15417101.7827541,0,14.9117774963379
cars,0,15,5,10,medoid,optimal,mse,15978969.333652,0,15.076762676239
cars,0,15,5,10,optimal,medoid,mse,14792370.5866113,0,99.7600076198578
cars,0,15,5,10,optimal,optimal,mse,14044041.5592382,0,101.492929935455
cars,0,15,5,10,sklearn,sklearn,sklearn,19367659.0125524,0,0.003043651580811
cars,1,3,5,10,lagrangian,lagrangian,mse,7170733.04554054,100,88.9327800273895
cars,1,3,5,10,lagrangian,medoid,mse,8541167.85391019,0,84.8501327037811
cars,1,3,5,10,lagrangian,optimal,mse,7170733.25554057,0,85.8173792362213
cars,1,3,5,10,mean,medoid,mse,8541167.85391019,0,15.442244052887
cars,1,3,5,10,mean,optimal,mse,7170733.25554057,0,18.0657095909119
cars,1,3,5,10,medoid,medoid,mse,8469995.59391019,0,24.9796102046967
cars,1,3,5,10,medoid,optimal,mse,7303655.23003873,0,24.4246912002563
cars,1,3,5,10,optimal,medoid,mse,8541167.85391019,0,126.279558420181
cars,1,3,5,10,optimal,optimal,mse,7170733.25554057,0,108.597969293594
cars,1,3,5,10,sklearn,sklearn,sklearn,7546917.56843205,0,0.01067852973938
cars,1,6,5,10,lagrangian,lagrangian,mse,7646520.24877877,92,127.856899023056
cars,1,6,5,10,lagrangian,medoid,mse,8397841.62095533,0,126.591399669647
cars,1,6,5,10,lagrangian,optimal,mse,7646520.42877881,0,124.713431835175
cars,1,6,5,10,mean,medoid,mse,8397841.62095533,0,0.999492645263672
cars,1,6,5,10,mean,optimal,mse,7646520.42877881,0,1.13168978691101
cars,1,6,5,10,medoid,medoid,mse,8653130.88391019,0,12.8006453514099
cars,1,6,5,10,medoid,optimal,mse,8549179.54594825,0,12.8847482204437
cars,1,6,5,10,optimal,medoid,mse,8397841.62095533,0,101.575877189636
cars,1,6,5,10,optimal,optimal,mse,7665893.58861752,0,100.396087884903
cars,1,6,5,10,sklearn,sklearn,sklearn,5904297.34907265,0,0.002620697021484
cars,1,9,5,10,lagrangian,lagrangian,mse,7715601.16200845,56,146.425613164902
cars,1,9,5,10,lagrangian,medoid,mse,8604610.80034639,0,141.63260436058
cars,1,9,5,10,lagrangian,optimal,mse,7715601.2120085,0,146.513332366943
cars,1,9,5,10,mean,medoid,mse,8604610.80034639,0,1.49364113807678
cars,1,9,5,10,mean,optimal,mse,7715564.61676774,0,1.64983344078064
cars,1,9,5,10,medoid,medoid,mse,8518585.23515888,0,16.6766571998596
cars,1,9,5,10,medoid,optimal,mse,8564422.8327807,0,16.855771780014
cars,1,9,5,10,optimal,medoid,mse,8604610.80034639,0,125.286865949631
cars,1,9,5,10,optimal,optimal,mse,7735749.44510108,0,128.818066358566
cars,1,9,5,10,sklearn,sklearn,sklearn,5790496.35609617,0,0.003604173660278
cars,1,12,5,10,lagrangian,lagrangian,mse,7713859.65639455,55,159.51948261261
cars,1,12,5,10,lagrangian,medoid,mse,8604610.80034639,0,148.445123434067
cars,1,12,5,10,lagrangian,optimal,mse,7713859.71139459,0,153.487107515335
cars,1,12,5,10,mean,medoid,mse,8604610.80034639,0,1.41397285461426
cars,1,12,5,10,mean,optimal,mse,7713823.11615384,0,1.5169050693512
cars,1,12,5,10,medoid,medoid,mse,8518585.23515888,0,17.4929666519165
cars,1,12,5,10,medoid,optimal,mse,8256113.35675883,0,17.3549225330353
cars,1,12,5,10,optimal,medoid,mse,8604610.80034639,0,119.996809720993
cars,1,12,5,10,optimal,optimal,mse,7734007.94448717,0,116.833965778351
cars,1,12,5,10,sklearn,sklearn,sklearn,5790496.35609617,0,0.002920627593994
cars,1,15,5,10,lagrangian,lagrangian,mse,7713859.65639455,55,132.34833574295
cars,1,15,5,10,lagrangian,medoid,mse,8604610.80034639,0,137.896090745926
cars,1,15,5,10,lagrangian,optimal,mse,7713859.71139459,0,144.509648084641
cars,1,15,5,10,mean,medoid,mse,8604610.80034639,0,1.41027688980103
cars,1,15,5,10,mean,optimal,mse,7713823.11615384,0,1.62101435661316
cars,1,15,5,10,medoid,medoid,mse,8518585.23515888,0,17.8970050811768
cars,1,15,5,10,medoid,optimal,mse,8780166.18335816,0,18.0035674571991
cars,1,15,5,10,optimal,medoid,mse,8604610.80034639,0,119.466244459152
cars,1,15,5,10,optimal,optimal,mse,7734007.94448717,0,116.260720014572
cars,1,15,5,10,sklearn,sklearn,sklearn,5790496.35609617,0,0.002872467041016
cars,2,3,5,10,lagrangian,lagrangian,mse,8584597.94664555,100,82.4419093132019
cars,2,3,5,10,lagrangian,medoid,mse,7816069.27925554,0,83.1485822200775
cars,2,3,5,10,lagrangian,optimal,mse,8584598.14664557,0,83.8354341983795
cars,2,3,5,10,mean,medoid,mse,7816069.27925554,0,15.8640863895416
cars,2,3,5,10,mean,optimal,mse,8584598.14664557,0,15.4114904403687
cars,2,3,5,10,medoid,medoid,mse,8830833.28524485,0,26.1247553825378
cars,2,3,5,10,medoid,optimal,mse,7598228.45199046,0,22.3185729980469
cars,2,3,5,10,optimal,medoid,mse,7816069.27925554,0,88.6215376853943
cars,2,3,5,10,optimal,optimal,mse,8584598.14664557,0,98.7476794719696
cars,2,3,5,10,sklearn,sklearn,sklearn,11860720.5922787,0,0.004448652267456
cars,2,6,5,10,lagrangian,lagrangian,mse,11548202.4866873,85,118.108531713486
cars,2,6,5,10,lagrangian,medoid,mse,9551210.41483086,0,114.283723831177
cars,2,6,5,10,lagrangian,optimal,mse,11548202.6716874,0,116.058254480362
cars,2,6,5,10,mean,medoid,mse,9551210.41483086,0,0.927814960479736
cars,2,6,5,10,mean,optimal,mse,11548202.6716874,0,0.970496654510498
cars,2,6,5,10,medoid,medoid,mse,8956810.74524485,0,13.6601881980896
cars,2,6,5,10,medoid,optimal,mse,7810142.24242214,0,13.6932382583618
cars,2,6,5,10,optimal,medoid,mse,9551210.41483086,0,89.6781935691834
cars,2,6,5,10,optimal,optimal,mse,11548202.6716874,0,91.3169646263123
cars,2,6,5,10,sklearn,sklearn,sklearn,13859323.6998817,0,0.002648591995239
cars,2,9,5,10,lagrangian,lagrangian,mse,11760212.142494,68,130.828737020493
cars,2,9,5,10,lagrangian,medoid,mse,9882124.36723537,0,127.367231845856
cars,2,9,5,10,lagrangian,optimal,mse,11760212.282494,0,127.187677383423
cars,2,9,5,10,mean,medoid,mse,9882124.36723537,0,1.39283132553101
cars,2,9,5,10,mean,optimal,mse,11760212.282494,0,1.47467160224915
cars,2,9,5,10,medoid,medoid,mse,8973416.76377687,0,19.8379681110382
cars,2,9,5,10,medoid,optimal,mse,9839591.60677739,0,20.2966542243958
cars,2,9,5,10,optimal,medoid,mse,9882124.36723537,0,191.808408737183
cars,2,9,5,10,optimal,optimal,mse,11760212.282494,0,112.849587917328
cars,2,9,5,10,sklearn,sklearn,sklearn,14136669.0568144,0,0.003525257110596
cars,2,12,5,10,lagrangian,lagrangian,mse,11800151.9712705,67,134.135994911194
cars,2,12,5,10,lagrangian,medoid,mse,9882124.36723537,0,141.627289772034
cars,2,12,5,10,lagrangian,optimal,mse,11800152.1162706,0,133.848715543747
cars,2,12,5,10,mean,medoid,mse,9882124.36723537,0,1.38502478599548
cars,2,12,5,10,mean,optimal,mse,11800152.1162706,0,1.57820224761963
cars,2,12,5,10,medoid,medoid,mse,8973416.76377687,0,20.2989010810852
cars,2,12,5,10,medoid,optimal,mse,9998392.20378601,0,20.4932105541229
cars,2,12,5,10,optimal,medoid,mse,9882124.36723537,0,104.2495033741
cars,2,12,5,10,optimal,optimal,mse,11800152.1162706,0,103.130389213562
cars,2,12,5,10,sklearn,sklearn,sklearn,13985231.4481161,0,0.003189563751221
cars,2,15,5,10,lagrangian,lagrangian,mse,11800151.9712705,67,115.83931684494
cars,2,15,5,10,lagrangian,medoid,mse,9882124.36723537,0,118.742641448975
cars,2,15,5,10,lagrangian,optimal,mse,11800152.1162706,0,135.644516468048
cars,2,15,5,10,mean,medoid,mse,9882124.36723537,0,1.25875639915466
cars,2,15,5,10,mean,optimal,mse,11800152.1162706,0,1.32572245597839
cars,2,15,5,10,medoid,medoid,mse,8973416.76377687,0,20.4432995319366
cars,2,15,5,10,medoid,optimal,mse,10636004.0463395,0,19.4939448833466
cars,2,15,5,10,optimal,medoid,mse,9882124.36723537,0,106.225249528885
cars,2,15,5,10,optimal,optimal,mse,11800152.1162706,0,106.029137372971
cars,2,15,5,10,sklearn,sklearn,sklearn,13985231.4481161,0,0.002978086471558
cars,3,3,5,10,lagrangian,lagrangian,mse,20568613.1170337,100,87.103129863739
cars,3,3,5,10,lagrangian,medoid,mse,21441912.2037529,0,82.2678556442261
cars,3,3,5,10,lagrangian,optimal,mse,20568613.3870337,0,84.5909750461578
cars,3,3,5,10,mean,medoid,mse,21441912.2037529,0,13.9691326618195
cars,3,3,5,10,mean,optimal,mse,20568613.3870337,0,14.3525960445404
cars,3,3,5,10,medoid,medoid,mse,21197191.8344117,0,23.8281292915344
cars,3,3,5,10,medoid,optimal,mse,20108851.5588299,0,24.0033059120178
cars,3,3,5,10,optimal,medoid,mse,21441912.2037529,0,89.9288094043732
cars,3,3,5,10,optimal,optimal,mse,20568613.3870337,0,92.1863994598389
cars,3,3,5,10,sklearn,sklearn,sklearn,20975428.9052005,0,0.01059889793396
cars,3,6,5,10,lagrangian,lagrangian,mse,23218856.1719537,65,115.370886325836
cars,3,6,5,10,lagrangian,medoid,mse,21635067.4444299,0,116.039575815201
cars,3,6,5,10,lagrangian,optimal,mse,23218856.3169538,0,113.759066343308
cars,3,6,5,10,mean,medoid,mse,21635067.4444299,0,0.97358512878418
cars,3,6,5,10,mean,optimal,mse,23218856.3169538,0,1.1187756061554
cars,3,6,5,10,medoid,medoid,mse,21289078.3326446,0,14.4983856678009
cars,3,6,5,10,medoid,optimal,mse,19993433.3628439,0,14.5167503356934
cars,3,6,5,10,optimal,medoid,mse,21635067.4444299,0,88.0134246349335
cars,3,6,5,10,optimal,optimal,mse,23218856.3169538,0,89.3175435066223
cars,3,6,5,10,sklearn,sklearn,sklearn,25072856.3158204,0,0.003017663955688
cars,3,9,5,10,lagrangian,lagrangian,mse,23451429.5367624,48,123.384229183197
cars,3,9,5,10,lagrangian,medoid,mse,21820676.2244299,0,121.708399057388
cars,3,9,5,10,lagrangian,optimal,mse,23451429.6167624,0,122.1459004879
cars,3,9,5,10,mean,medoid,mse,21820676.2244299,0,1.24975800514221
cars,3,9,5,10,mean,optimal,mse,23451429.6167624,0,1.35694479942322
cars,3,9,5,10,medoid,medoid,mse,21289078.3326446,0,22.0288925170898
cars,3,9,5,10,medoid,optimal,mse,20813228.5598633,0,22.2320899963379
cars,3,9,5,10,optimal,medoid,mse,21820676.2244299,0,107.251009464264
cars,3,9,5,10,optimal,optimal,mse,23451429.6167624,0,108.683666706085
cars,3,9,5,10,sklearn,sklearn,sklearn,25415783.1870836,0,0.003342390060425
cars,3,12,5,10,lagrangian,lagrangian,mse,23451429.5367624,48,120.753693819046
cars,3,12,5,10,lagrangian,medoid,mse,21820676.2244299,0,127.361879825592
cars,3,12,5,10,lagrangian,optimal,mse,23451429.6167624,0,123.237419366837
cars,3,12,5,10,mean,medoid,mse,21820676.2244299,0,1.36616373062134
cars,3,12,5,10,mean,optimal,mse,23451429.6167624,0,1.48523950576782
cars,3,12,5,10,medoid,medoid,mse,21064343.0226446,0,22.4553592205048
cars,3,12,5,10,medoid,optimal,mse,20857978.4518522,0,23.5032727718353
cars,3,12,5,10,optimal,medoid,mse,21820676.2244299,0,101.066740512848
cars,3,12,5,10,optimal,optimal,mse,23451429.6167624,0,99.5278527736664
cars,3,12,5,10,sklearn,sklearn,sklearn,25415783.1870836,0,0.003259181976318
cars,3,15,5,10,lagrangian,lagrangian,mse,23451429.5367624,48,116.044254779816
cars,3,15,5,10,lagrangian,medoid,mse,21820676.2244299,0,110.825204610825
cars,3,15,5,10,lagrangian,optimal,mse,23451429.6167624,0,121.796071529388
cars,3,15,5,10,mean,medoid,mse,21820676.2244299,0,1.24722790718079
cars,3,15,5,10,mean,optimal,mse,23451429.6167624,0,1.31659746170044
cars,3,15,5,10,medoid,medoid,mse,21064343.0226446,0,24.8155000209808
cars,3,15,5,10,medoid,optimal,mse,21763717.4237686,0,24.9831538200378
cars,3,15,5,10,optimal,medoid,mse,21820676.2244299,0,94.7003309726715
cars,3,15,5,10,optimal,optimal,mse,23451429.6167624,0,99.8871998786926
cars,3,15,5,10,sklearn,sklearn,sklearn,25415783.1870836,0,0.003040075302124
cars,4,3,5,10,lagrangian,lagrangian,mse,9491731.91069975,100,88.3724856376648
cars,4,3,5,10,lagrangian,medoid,mse,9525152.0524873,0,89.884622335434
cars,4,3,5,10,lagrangian,optimal,mse,9491732.27069976,0,86.1597471237183
cars,4,3,5,10,mean,medoid,mse,9525152.0524873,0,14.093868970871
cars,4,3,5,10,mean,optimal,mse,9491732.27069976,0,15.6453430652618
cars,4,3,5,10,medoid,medoid,mse,9365835.8224873,0,25.2917718887329
cars,4,3,5,10,medoid,optimal,mse,9415990.18058712,0,23.5378746986389
cars,4,3,5,10,optimal,medoid,mse,9525152.0524873,0,91.9097683429718
cars,4,3,5,10,optimal,optimal,mse,9491732.27069976,0,96.3458847999573
cars,4,3,5,10,sklearn,sklearn,sklearn,10098523.3284132,0,0.009090662002563
cars,4,6,5,10,lagrangian,lagrangian,mse,9730824.12763287,91,133.986785888672
cars,4,6,5,10,lagrangian,medoid,mse,10290089.0629408,0,130.368904352188
cars,4,6,5,10,lagrangian,optimal,mse,9730824.4426329,0,130.261969089508
cars,4,6,5,10,mean,medoid,mse,10290089.0629408,0,1.09722208976746
cars,4,6,5,10,mean,optimal,mse,9730824.4426329,0,1.18196129798889
cars,4,6,5,10,medoid,medoid,mse,9424612.9924873,0,13.6649432182312
cars,4,6,5,10,medoid,optimal,mse,9504216.00655389,0,13.8208093643188
cars,4,6,5,10,optimal,medoid,mse,10290089.0629408,0,104.741921663284
cars,4,6,5,10,optimal,optimal,mse,9730824.4426329,0,103.5555768013
cars,4,6,5,10,sklearn,sklearn,sklearn,11891606.6157655,0,0.003029108047485
cars,4,9,5,10,lagrangian,lagrangian,mse,10338897.9522159,71,160.96856212616
cars,4,9,5,10,lagrangian,medoid,mse,10671392.9679408,0,148.122885465622
cars,4,9,5,10,lagrangian,optimal,mse,10338898.207216,0,150.557842493057
cars,4,9,5,10,mean,medoid,mse,10671392.9679408,0,1.41608309745789
cars,4,9,5,10,mean,optimal,mse,10338898.207216,0,1.46793961524963
cars,4,9,5,10,medoid,medoid,mse,9769091.7524873,0,16.7587718963623
cars,4,9,5,10,medoid,optimal,mse,10094387.3791044,0,18.4216496944428
cars,4,9,5,10,optimal,medoid,mse,10671392.9679408,0,135.188652038574
cars,4,9,5,10,optimal,optimal,mse,10338898.207216,0,135.897663831711
cars,4,9,5,10,sklearn,sklearn,sklearn,12651072.5786226,0,0.003433227539063
cars,4,12,5,10,lagrangian,lagrangian,mse,10402567.3108949,60,159.943097829819
cars,4,12,5,10,lagrangian,medoid,mse,10741918.6429408,0,160.55860710144
cars,4,12,5,10,lagrangian,optimal,mse,10402567.5108949,0,157.657659053803
cars,4,12,5,10,mean,medoid,mse,10741918.6429408,0,1.6568603515625
cars,4,12,5,10,mean,optimal,mse,10402567.5108949,0,1.78414583206177
cars,4,12,5,10,medoid,medoid,mse,9806574.9774873,0,18.5538878440857
cars,4,12,5,10,medoid,optimal,mse,9566167.18265772,0,18.6269886493683
cars,4,12,5,10,optimal,medoid,mse,10741918.6429408,0,131.357662677765
cars,4,12,5,10,optimal,optimal,mse,10402567.5108949,0,128.7419962883
cars,4,12,5,10,sklearn,sklearn,sklearn,12694218.6314725,0,0.003537654876709
cars,4,15,5,10,lagrangian,lagrangian,mse,10389581.8342167,58,138.973982810974
cars,4,15,5,10,lagrangian,medoid,mse,10741918.6429408,0,143.432153224945
cars,4,15,5,10,lagrangian,optimal,mse,10389582.0242168,0,156.09362411499
cars,4,15,5,10,mean,medoid,mse,10741918.6429408,0,1.44678354263306
cars,4,15,5,10,mean,optimal,mse,10389582.0242168,0,1.60048413276672
cars,4,15,5,10,medoid,medoid,mse,9685548.6724873,0,16.8815808296204
cars,4,15,5,10,medoid,optimal,mse,9264967.23098477,0,17.1743836402893
cars,4,15,5,10,optimal,medoid,mse,10741918.6429408,0,130.852965593338
cars,4,15,5,10,optimal,optimal,mse,10389582.0242168,0,126.348522901535
cars,4,15,5,10,sklearn,sklearn,sklearn,12694218.6314725,0,0.003229856491089
scores,0,3,5,10,lagrangian,lagrangian,mse,2002.39420439756,0,993.324285507202
scores,0,3,5,10,lagrangian,medoid,mse,634.606666666667,0,1053.65732312202
scores,0,3,5,10,lagrangian,optimal,mse,551.134960816421,0,1015.80187988281
scores,0,3,5,10,mean,medoid,mse,621.593333333333,0,65.3554589748383
scores,0,3,5,10,mean,optimal,mse,564.201518577528,0,61.2879071235657
scores,0,3,5,10,medoid,medoid,mse,594.033333333333,0,280.137184143066
scores,0,3,5,10,medoid,optimal,mse,552.782989321061,0,268.055490255356
scores,0,3,5,10,optimal,medoid,mse,621.593333333333,0,955.785277843475
scores,0,3,5,10,optimal,optimal,mse,564.201518577528,0,900.835240125656
scores,0,3,5,10,sklearn,sklearn,sklearn,564.201518577528,0,0.003977537155151
scores,0,6,5,10,lagrangian,lagrangian,mse,2004.9428209141,0,1222.86746811867
scores,0,6,5,10,lagrangian,medoid,mse,607.326666666667,0,1265.74447154999
scores,0,6,5,10,lagrangian,optimal,mse,545.917967867846,0,1208.73803949356
scores,0,6,5,10,mean,medoid,mse,600.63,0,2.73450660705566
scores,0,6,5,10,mean,optimal,mse,538.10589745837,0,2.89592576026917
scores,0,6,5,10,medoid,medoid,mse,624.01,0,80.9296677112579
scores,0,6,5,10,medoid,optimal,mse,536.719550376932,0,85.7424762248993
scores,0,6,5,10,optimal,medoid,mse,600.63,0,1116.01593947411
scores,0,6,5,10,optimal,optimal,mse,538.10589745837,0,1090.53615427017
scores,0,6,5,10,sklearn,sklearn,sklearn,549.784032370128,13,0.002326250076294
scores,0,9,5,10,lagrangian,lagrangian,mse,1996.51887727647,0,1298.14045858383
scores,0,9,5,10,lagrangian,medoid,mse,599.155,0,1331.51194405556
scores,0,9,5,10,lagrangian,optimal,mse,535.084423802825,0,1283.39638948441
scores,0,9,5,10,mean,medoid,mse,577.373333333333,0,3.38666462898254
scores,0,9,5,10,mean,optimal,mse,523.436802291412,0,3.36174821853638
scores,0,9,5,10,medoid,medoid,mse,639.19,0,141.124941825867
scores,0,9,5,10,medoid,optimal,mse,547.256227971655,0,116.109272956848
scores,0,9,5,10,optimal,medoid,mse,577.373333333333,0,1125.43588399887
scores,0,9,5,10,optimal,optimal,mse,523.436802291412,0,1122.87373209
scores,0,9,5,10,sklearn,sklearn,sklearn,547.125431204775,25,0.002396583557129
scores,0,12,5,10,lagrangian,lagrangian,mse,1996.9128272822,0,1303.65231800079
scores,0,12,5,10,lagrangian,medoid,mse,597.903333333333,0,1336.25066971779
scores,0,12,5,10,lagrangian,optimal,mse,536.351880858343,0,1278.19794940948
scores,0,12,5,10,mean,medoid,mse,577.016666666667,0,3.16382336616516
scores,0,12,5,10,mean,optimal,mse,531.691863289948,0,3.40862822532654
scores,0,12,5,10,medoid,medoid,mse,635.386666666667,0,71.2006809711456
scores,0,12,5,10,medoid,optimal,mse,545.007216103496,0,78.0600135326386
scores,0,12,5,10,optimal,medoid,mse,577.016666666667,0,1043.6862449646
scores,0,12,5,10,optimal,optimal,mse,531.691863289948,0,1022.49687099457
scores,0,12,5,10,sklearn,sklearn,sklearn,551.84807094231,25,0.002016067504883
scores,0,15,5,10,lagrangian,lagrangian,mse,1996.9128272822,0,1371.30512499809
scores,0,15,5,10,lagrangian,medoid,mse,597.903333333333,0,1345.69920611382
scores,0,15,5,10,lagrangian,optimal,mse,536.351880858343,0,1302.46872568131
scores,0,15,5,10,mean,medoid,mse,577.016666666667,0,2.85870003700256
scores,0,15,5,10,mean,optimal,mse,531.691863289948,0,3.07161712646484
scores,0,15,5,10,medoid,medoid,mse,635.386666666667,0,74.2865700721741
scores,0,15,5,10,medoid,optimal,mse,545.007216103496,0,75.7801747322083
scores,0,15,5,10,optimal,medoid,mse,577.016666666667,0,1007.0711555481
scores,0,15,5,10,optimal,optimal,mse,531.691863289948,0,1003.23329997063
